epoch accuracy loss top_3_categorical_accuracy top_5_categorical_accuracy val_accuracy val_loss val_top_3_categorical_accuracy val_top_5_categorical_accuracy
0 0.6843098402023315 1.9537056684494019 0.8954915404319763 0.9515392184257507 0.7442166805267334 1.4200955629348755 0.9324790239334106 0.975408673286438
1 0.8139473795890808 0.946199357509613 0.9578798413276672 0.9858391284942627 0.7504976987838745 1.024959683418274 0.9343857765197754 0.9758012294769287
2 0.8722591996192932 0.5315347909927368 0.975412130355835 0.9927557110786438 0.7563020586967468 0.9875657558441162 0.9263101816177368 0.9722681641578674
3 0.9037438035011292 0.35820063948631287 0.9848560094833374 0.9963505268096924 0.7215040922164917 1.117170810699463 0.9142248034477234 0.9642486572265625
4 0.9240416884422302 0.27251768112182617 0.9900844097137451 0.9979692101478577 0.754311203956604 1.0116064548492432 0.9265344738960266 0.9693239331245422
5 0.9364150762557983 0.22300317883491516 0.9930635690689087 0.9987239241600037 0.7580685615539551 1.0517637729644775 0.9288057684898376 0.9718475937843323
6 0.947666347026825 0.18677212297916412 0.9952681064605713 0.9990863800048828 0.7350475192070007 1.213769555091858 0.9150660634040833 0.9647814035415649
7 0.9548311829566956 0.16117824614048004 0.9966633319854736 0.99936443567276 0.749628484249115 1.0979516506195068 0.9230014085769653 0.9698567390441895
8 0.9620556235313416 0.14133018255233765 0.9974478483200073 0.9995630383491516 0.7383562922477722 1.2670423984527588 0.9216835498809814 0.967557430267334
9 0.9668570160865784 0.1253388673067093 0.9981082677841187 0.9996722936630249 0.7177466750144958 1.3280208110809326 0.9221041202545166 0.9679219126701355
