epoch accuracy loss top_3_categorical_accuracy top_5_categorical_accuracy val_accuracy val_loss val_top_3_categorical_accuracy val_top_5_categorical_accuracy
0 0.4900537431240082 3.03843355178833 0.7405277490615845 0.8299833536148071 0.5632732510566711 2.725348949432373 0.8222281336784363 0.9092435240745544
1 0.6617952585220337 2.41153621673584 0.8808068633079529 0.9413266777992249 0.619476854801178 2.519766330718994 0.8642924427986145 0.9359903335571289
2 0.712668240070343 2.234788656234741 0.90718013048172 0.9569272398948669 0.6345881819725037 2.460869789123535 0.8679450750350952 0.9395546317100525
3 0.7435091137886047 2.11564564704895 0.9223483800888062 0.965236485004425 0.6451631784439087 2.4114904403686523 0.8736597299575806 0.9417933225631714
4 0.7679728865623474 2.0202600955963135 0.9323329329490662 0.9710821509361267 0.6653411388397217 2.343101978302002 0.8840284943580627 0.9474784731864929
5 0.7877573370933533 1.939516544342041 0.9409888982772827 0.9753876328468323 0.6665488481521606 2.31862735748291 0.8877106308937073 0.9506893157958984
6 0.8053575158119202 1.8670356273651123 0.9475281834602356 0.9789590239524841 0.6669317483901978 2.3087575435638428 0.8865912556648254 0.9490396976470947
7 0.8209266066551208 1.7990899085998535 0.9534909725189209 0.9820665121078491 0.6682278513908386 2.2903120517730713 0.8878284692764282 0.9500412344932556
8 0.837009072303772 1.734862208366394 0.9589719176292419 0.9844759702682495 0.6770943999290466 2.2621145248413086 0.891186535358429 0.9531636834144592
9 0.8523979783058167 1.6719952821731567 0.9645023941993713 0.986579179763794 0.6738835573196411 2.2667312622070312 0.8903617262840271 0.9518675804138184
