,filepath,class_name
0,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000011_gt_63-19-166-128_iou_1.0.jpg,Blazer
1,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000015_gt_20-29-201-233_iou_1.0.jpg,Blazer
2,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000026_gt_1-80-149-282_iou_1.0.jpg,Blazer
3,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000028_gt_151-75-300-270_iou_1.0.jpg,Blazer
4,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000030_gt_68-39-166-125_iou_1.0.jpg,Blazer
5,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000039_gt_55-85-191-268_iou_1.0.jpg,Blazer
6,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000045_gt_9-156-143-300_iou_1.0.jpg,Blazer
7,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000052_gt_36-79-210-269_iou_1.0.jpg,Blazer
8,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000060_gt_20-34-282-300_iou_1.0.jpg,Blazer
9,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000066_gt_41-102-193-258_iou_1.0.jpg,Blazer
10,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000068_gt_19-87-213-266_iou_1.0.jpg,Blazer
11,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000072_gt_7-94-170-287_iou_1.0.jpg,Blazer
12,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000074_gt_88-32-202-145_iou_1.0.jpg,Blazer
13,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000083_gt_63-63-209-279_iou_1.0.jpg,Blazer
14,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000084_gt_64-93-191-266_iou_1.0.jpg,Blazer
15,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000087_gt_28-84-288-282_iou_1.0.jpg,Blazer
16,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000091_gt_52-58-154-159_iou_1.0.jpg,Blazer
17,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000093_gt_32-50-222-300_iou_1.0.jpg,Blazer
18,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000098_gt_1-55-210-273_iou_1.0.jpg,Blazer
19,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000109_gt_157-55-287-227_iou_1.0.jpg,Blazer
20,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000122_gt_30-1-222-273_iou_1.0.jpg,Blazer
21,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000132_gt_1-56-183-300_iou_1.0.jpg,Blazer
22,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000141_gt_9-46-199-241_iou_1.0.jpg,Blazer
23,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000151_gt_20-58-157-297_iou_1.0.jpg,Blazer
24,/data/Deepfashion/test/Blazer/Single-Button_Blazer_img_00000162_gt_52-101-204-287_iou_1.0.jpg,Blazer
25,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000001_gt_20-67-171-260_iou_1.0.jpg,Blazer
26,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000004_gt_70-78-137-155_iou_1.0.jpg,Blazer
27,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000011_gt_71-31-173-139_iou_1.0.jpg,Blazer
28,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000017_gt_4-54-194-272_iou_1.0.jpg,Blazer
29,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000019_gt_17-76-197-281_iou_1.0.jpg,Blazer
30,/data/Deepfashion/test/Blazer/Tailored_Woven_Blazer_img_00000034_gt_88-45-170-157_iou_1.0.jpg,Blazer
